"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 03 19:24:58 GMT 2023","Mon Jul 03 19:24:58 GMT 2023","1","All Test Suite","Test name","com.qabot.SliderTest","com.qabot.SliderTest","beforeClass","beforeClass",""
"broken","Mon Jul 03 19:24:57 GMT 2023","Mon Jul 03 19:24:57 GMT 2023","0","All Test Suite","Test name","com.qabot.FrameTest","com.qabot.FrameTest","beforeClass","beforeClass",""
"broken","Mon Jul 03 19:24:56 GMT 2023","Mon Jul 03 19:24:56 GMT 2023","6","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","beforeClass","beforeClass",""
"skipped","Mon Jul 03 19:24:56 GMT 2023","Mon Jul 03 19:24:56 GMT 2023","27","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"skipped","Mon Jul 03 19:24:57 GMT 2023","Mon Jul 03 19:24:57 GMT 2023","27","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testValidatePage","Validate the right page",""
"skipped","Mon Jul 03 19:24:58 GMT 2023","Mon Jul 03 19:24:58 GMT 2023","1","All Test Suite","Test name","com.qabot.SliderTest","com.qabot.SliderTest","testSlide","Move the slider to a value",""
"skipped","Mon Jul 03 19:24:58 GMT 2023","Mon Jul 03 19:24:58 GMT 2023","2","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"skipped","Mon Jul 03 19:24:56 GMT 2023","Mon Jul 03 19:24:56 GMT 2023","112","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
"broken","Mon Jul 03 19:24:56 GMT 2023","Mon Jul 03 19:24:56 GMT 2023","4","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","beforeClass","beforeClass",""
"skipped","Mon Jul 03 19:24:58 GMT 2023","Mon Jul 03 19:24:58 GMT 2023","0","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginFailure","Invalid login",""
"broken","Mon Jul 03 19:24:58 GMT 2023","Mon Jul 03 19:24:58 GMT 2023","0","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","beforeClass","beforeClass",""
